asset_code,date,nav,daily_return,subscription_status_raw,redemption_status_raw,source_url
018043,2025-11-04,1.8463,-1.94%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-11-03,1.8828,0.40%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-31,1.8753,0.48%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-30,1.8664,-1.37%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-29,1.8924,0.38%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-28,1.8853,0.67%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-27,1.8728,1.65%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-24,1.8424,0.98%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-23,1.8245,0.77%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-22,1.8105,-0.90%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-21,1.8269,-0.11%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-20,1.8289,1.25%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
018043,2025-10-17,1.8063,0.58%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=8&per=20
